userid,firstname,lastname,countrycode,rating
4,Tait,Klimentyonok,PL,3.4
56,Karlotta,Fernao,CN,1.1
98,Celestine,Balston,PL,2.5
12,Emmalee,Eat,PK,1.8
62,Babara,Grafhom,BR,4.1
39,Roderick,Blenkinsop,CA,2.2
77,Cassie,Cocker,JP,4.1
73,Petey,Bezarra,MX,3.1
35,Zak,Dumbrell,CZ,4.1
97,Elly,Hirche,RS,2.8
19,Garret,Gosnold,PH,4.6
12,Fanny,Rydings,PE,2.6
54,Luelle,Wiltsher,NG,1.0
43,Holli,Firsby,MX,2.1
22,Cad,Allright,RU,1.2
88,Emlyn,Norsister,DO,1.1
63,Isabelita,Klamman,ID,1.5
42,Tuck,Hauxby,CG,3.7
28,Ezri,Beeton,FR,4.4
92,Rodolph,Bragginton,NL,2.0
28,Halette,Mergue,DE,3.5
76,Keelby,Klimsch,CN,4.5
45,Cristie,Gavrieli,RU,2.6
47,Kandy,Billett,SE,1.7
14,Krishnah,Dowdell,MM,1.1
18,Allen,Ping,SN,4.1
40,Lloyd,Harrismith,CL,4.0
34,Cristionna,Alflatt,MX,1.7
1,Thornie,Benka,ID,4.0
31,Myer,Goodboddy,FR,3.9
66,Harlen,Wesson,JP,1.7
6,Elora,Coventon,RU,2.8
1,Vere,Noore,RU,1.4
9,Nicky,Londsdale,US,4.5
80,Dinnie,Richly,IR,1.2
6,Lexi,Lissandri,CO,2.5
38,Fey,Fenn,AM,1.9
58,Garfield,McIver,BR,3.7
69,Leilah,Kensington,ID,2.3
36,Andrey,Walles,PK,4.1
82,Cyrille,Berzons,ID,2.5
74,Kissie,Robeson,CO,1.8
65,Chas,Balasini,MX,3.3
69,Noellyn,Rankin,ID,2.8
76,Ingeborg,Aspy,NA,4.2
60,Sigfrid,McCotter,UA,1.1
27,Betsy,Whitter,TH,4.1
69,Herbie,Tewkesberry,PH,2.2
53,Chane,Tyson,CA,4.0
54,Glenn,Halston,RU,2.2
15,Jamil,Liggins,US,1.8
11,Serge,Donoher,MH,4.2
41,Nikolia,D'Oyly,CO,3.7
52,Emmery,Farlam,CN,3.6
53,Phillida,Rennix,IE,3.1
20,Caro,Carmel,NG,1.2
68,Angelita,Diggins,ID,3.1
49,Lynea,Waliszewski,IE,1.5
61,Taber,Domange,CN,1.9
12,Donal,Leverton,CN,2.7
35,Carolus,Folk,PT,2.2
98,Cosette,Greenard,FI,2.9
58,Moreen,Gelland,CN,1.9
82,Krystal,Aish,ID,2.0
72,Kelila,Caswell,CN,1.6
48,Mandi,McCromley,CN,3.6
45,Paxton,Houtbie,US,3.3
71,Franciskus,Warlock,TH,3.2
29,Tresa,Petcher,CN,1.2
17,Darda,Gilham,MX,1.0
49,Jarred,Lampet,RU,4.8
38,Callean,Eltune,MN,1.4
70,Joane,Lightman,US,4.7
92,Hermy,Tissington,CN,2.7
90,Putnem,Ghiotto,CN,3.6
36,Debi,Strettle,PH,4.8
65,Spike,Boshell,ZA,3.2
21,Hollie,MacGragh,ID,2.5
34,Ermanno,Hamly,CN,2.5
52,Meara,Matresse,BR,3.7
7,Pam,Dudding,ID,3.3
57,Farand,Smylie,FR,3.4
52,Sari,Pengilley,AM,1.9
81,Spencer,Ruffell,KR,2.2
65,Brinn,Edelheit,ID,2.7
91,Gerrie,Carbin,JP,3.4
82,Lemmy,Lardnar,CL,3.4
53,Pieter,Stronough,AR,4.7
58,Tobiah,Franzewitch,BR,2.0
13,Willie,Munt,ID,2.7
30,Bartlett,Cobbing,GR,2.3
18,Rebbecca,Coch,UA,3.5
5,Coleen,Ubsdall,AZ,3.0
57,Laurianne,Le Brum,PL,4.8
99,Hale,Cairns,GM,2.3
8,Stacia,Hatto,ID,2.7
78,Giacinta,McLaggan,CN,4.5
8,Kellby,Lippett,BR,4.2
88,Oralla,Gould,VE,4.2
38,Matthus,Velez,PH,4.7
56,Lenna,Baldam,CN,4.0
65,Deanne,Stothard,ID,4.5
50,Kirby,Grieg,CU,4.2
43,Daile,Burdekin,CN,3.8
86,Erek,Kamen,TH,4.9
92,Tore,Giacaponi,ID,4.5
22,Pooh,Broyd,CN,2.3
48,Noella,McArley,ID,1.3
48,Gloriane,Cleveley,CN,3.7
52,Currie,Chamberlayne,UA,2.3
41,Jeanne,Copyn,CN,2.9
67,Chere,Liquorish,GT,5.0
17,Becka,Di Franceschi,GR,4.7
78,Siegfried,McCathie,CN,1.6
29,Butch,Corderoy,PT,4.0
11,Ashla,Stambridge,PL,2.6
36,Mariele,Wallwood,BR,2.1
59,Kiley,Lukins,RU,3.0
90,Randi,Mullinder,LU,1.2
70,Kevyn,Cankett,PL,4.4
74,Hortense,Nuccii,CI,1.1
22,Harmon,Hammelberg,RU,1.4
100,Shaun,Billingsly,AF,3.8
38,Zorina,St. Paul,DO,3.9
35,Tara,Sapseed,PT,2.1
75,Luelle,Gianolo,RU,4.2
34,Lacee,Ryland,PL,4.9
45,Robers,Dundon,CN,3.8
4,Britta,Ibotson,ID,4.4
69,Quillan,Morehall,PL,4.9
15,Adriane,Handasyde,CZ,3.5
8,Renado,Brayshaw,GB,3.0
44,Debbi,Stowe,PH,2.9
69,Nealon,Baldrick,PT,4.0
15,Laurice,Dawdry,CN,2.1
64,Sigismund,Giroldi,MH,1.1
28,Clarie,Le Sarr,CN,2.7
41,Richmond,Odlin,CN,1.6
99,Ezra,Teale,PH,3.5
21,Corrine,Ratke,ID,3.6
70,Clo,Fitzgerald,PH,4.2
25,Marleah,Ghirardi,KE,2.8
46,Dottie,Le Fevre,FR,3.5
41,Tamera,Phizackerly,RU,3.8
52,Herbie,Kave,PH,4.6
1,Fernando,Favey,ID,2.4
59,Stevana,Kunc,CO,3.1
93,Kipp,O' Donohoe,PT,4.9
99,Betteann,McNess,EE,4.5
39,Francisca,Threadgall,KZ,3.0
59,Marys,Wehden,CN,2.2
1,Allx,Oxford,AZ,3.0
94,Jourdain,Bentsen,BR,3.4
48,Orion,Morfey,CN,1.4
61,Hartley,Lomasna,CN,1.4
81,Bailie,Michelmore,US,4.1
44,Leroy,Kingswold,ID,2.3
12,Charis,Knoles,PT,1.3
94,Letisha,Budge,PL,3.2
4,Sunny,Rissom,PE,1.9
55,Willamina,Ramm,RU,1.1
19,Sherie,Hoult,FR,4.1
83,Vanya,Barrar,ID,1.6
42,Dawn,Franschini,US,4.9
24,Sargent,Abramchik,PL,4.2
62,Celeste,Wasmer,US,1.8
28,Rafi,Rosenstock,CN,1.3
88,Sayre,Tissier,CN,3.0
58,Ricard,Mollett,ID,3.6
7,Kial,Merrien,PT,4.1
20,Merilee,Beelby,RS,2.3
69,Bentley,Lobbe,CN,2.0
1,Naomi,Davydoch,SV,4.5
48,Blair,Coppock.,ID,3.9
28,Westley,Oldis,RU,2.6
58,Fitz,Binnall,PH,4.3
96,Mel,Poyntz,US,3.8
8,Ardra,Lopes,RU,4.6
12,Iorgo,Dowe,CN,4.7
29,Kari,Lemmers,CN,3.3
32,Torr,Deason,NO,3.7
66,Ernest,Richly,IR,2.5
4,Ferguson,Mirams,PT,4.1
26,Brose,Ogborn,AF,1.9
68,Arnoldo,Colhoun,PT,1.7
85,Demetria,Barrows,SY,1.0
18,Irina,Kirsz,PT,3.4
42,Fidela,Boulton,CZ,4.4
70,Taber,Labes,AM,3.6
21,Izzy,De Launde,PL,4.1
28,Wynne,Janway,CN,2.6
28,Drucie,Cleere,EC,2.4
94,Zoe,Kneale,IT,4.3
47,Sergio,Broy,ID,4.5
79,Honor,Bendon,FR,2.4
46,Leticia,Pinnington,PL,2.1
28,Niven,Pendrich,ID,4.9
16,Si,Kellet,SE,1.0
13,Domenic,Benbrick,CN,4.9
77,Jorry,Cosson,PH,2.3
34,Winny,Puckinghorne,MA,4.4
80,Jody,Conelly,BR,4.6
18,Cassie,Gorrissen,CN,3.8
71,Mufi,Langshaw,CN,3.4
89,Zebulen,Emmens,MX,2.9
32,Zelma,Natt,ID,4.9
60,Alistair,Aulsford,RU,1.2
64,Veradis,Woolmer,RU,4.4
96,Aland,Girauld,CN,4.2
69,Auroora,Kinforth,VN,1.7
71,Candra,Goundsy,JP,2.2
65,Cornie,Tift,CN,1.7
7,Lezley,Strattan,CN,1.4
16,Juditha,Beeken,TJ,1.6
67,Valida,Tummons,FI,4.6
62,Craggy,Dean,PH,4.1
72,Dimitry,Barlie,BR,1.8
19,Hodge,Tother,CN,3.2
65,Celka,Pellatt,AM,1.7
96,Glen,Baise,RU,4.0
64,Freemon,Benez,PT,4.1
27,Rutger,Sones,JP,4.8
77,Patsy,Ream,CN,3.2
55,Joaquin,Yushmanov,RU,3.9
27,Demetri,Abethell,TZ,3.4
31,Gabbie,Kneath,BG,1.3
54,Amalea,Haselhurst,HR,1.2
78,Amalle,Crippes,CN,4.4
56,Noland,Ugo,SE,1.5
11,Vinson,Diss,BY,3.2
4,Cathyleen,Tewes,IT,2.0
37,Nelli,MacCard,JP,2.8
20,Oralle,Goldring,FR,2.9
70,Hastie,Ferns,CN,2.0
31,Oliy,Grigg,FR,1.5
36,Blondie,Bromby,PR,2.6
72,Devondra,Keysel,CN,2.5
12,Rubina,Soda,MY,4.7
23,Hendrik,Pepler,AR,3.2
28,Jolie,McKelloch,CN,3.9
9,Leeann,Dabels,CN,2.0
87,Burgess,Kirkman,BR,1.2
10,Natty,Goodlatt,CN,4.2
10,Nanine,Elsmore,CN,2.5
15,Vivienne,Rake,ID,4.9
81,Morie,Abramov,CZ,2.9
94,Merola,Garriock,ID,1.8
27,Bev,Franckton,CN,4.4
16,Austine,Kalf,CN,3.7
46,Britte,Gornar,CN,4.9
82,Jessika,Yegorkov,CN,2.3
64,Idalina,Simenon,CI,3.5
2,Prudi,Roskilly,PH,4.5
78,Harold,Moline,RU,1.5
4,Benyamin,Iveagh,IL,2.8
31,Ashley,Honatsch,MY,3.9
42,Beret,Jeness,ID,1.8
10,Lauritz,Raoul,FR,2.1
98,Whitaker,Storm,VE,4.1
49,Kit,Leivesley,ID,1.3
65,Rochella,Coger,TN,4.8
84,Allard,Girod,CN,4.3
65,Udell,Hambric,ID,1.6
20,Damien,Chadderton,BR,2.1
52,Devlen,Klimushev,CN,1.7
94,Queenie,Bengtson,ID,2.7
42,Freddi,Yeldham,FR,4.6
92,Mikkel,Gamon,CN,2.2
90,Tomi,Padson,CN,2.7
87,Freeland,Semechik,CN,4.4
32,Dylan,Giuron,SE,2.1
97,Burnard,Elcoate,PH,1.4
71,Adrianna,Brain,KZ,3.4
82,Karyn,Landy,CN,4.3
88,May,Siberry,MA,4.0
44,Amalie,Bichard,CN,3.0
69,Michal,Louche,CN,2.5
14,Finn,Maunder,UA,4.0
